Product Name,Current Date,Current Price,Old Date,Old Price,Category
Hawk Gaming Chair Fab V5 Antrasit Kumaş Oyuncu Koltuğu,10/06/2023,3559,10/06/2022,2399,oyuncu-koltugu
Hawk Gaming Chair Fab V6 Stone Kumaş Oyuncu Koltuğu,10/06/2023,3599,10/12/2022,2999,oyuncu-koltugu
Fairy Platinum Limon 16'lı Bulaşık Makinesi Tableti,10/06/2023,65,10/06/2022,54,bulasik-makinesi-tableti
Fairy Platinum Limon 26'lı Bulaşık Makinesi Kapsülü,10/06/2023,100,10/06/2022,71,bulasik-makinesi-tableti
Fairy Platinum Limon 33'lü Bulaşık Makinesi Kapsülü,10/06/2023,127,10/06/2022,69,bulasik-makinesi-tableti
Fairy Platinum Limon Bulaşık Makinesi Kapsülü 43'lü,10/06/2023,143,10/06/2022,94,bulasik-makinesi-tableti
Fairy Platinum Limon Bulaşık Makinesi Kapsülü 72'li,10/06/2023,219,10/06/2022,140,bulasik-makinesi-tableti
Fairy Platinum Limon 60'lı Bulaşık Makinesi Kapsülü,10/06/2023,202,10/06/2022,125,bulasik-makinesi-tableti
Fairy Platinum Limon 50'li Bulaşık Makinesi Kapsülü,10/06/2023,169,10/06/2022,102,bulasik-makinesi-tableti
iPhone 13 256 GB,10/06/2023,35899,10/06/2022,18980,cep-telefonu
iPhone 13 256 GB Gece Yarısı,10/06/2023,35999,10/06/2022,19619,cep-telefonu
iPhone 13 256 GB Kırmızı,10/06/2023,35998,10/06/2022,18999,cep-telefonu
iPhone 13 256 GB Mavi,10/06/2023,35998,10/06/2022,18980,cep-telefonu
iPhone 13 256 GB Pembe,10/06/2023,37899,10/06/2022,18999,cep-telefonu
iPhone 13 256 GB Yeşil,10/06/2023,35899,10/06/2022,19599,cep-telefonu
iPhone 13 256 GB Yıldız Işığı,10/06/2023,35999,10/06/2022,18999,cep-telefonu
iPhone 13 512 GB,10/06/2023,39999,10/06/2022,17999,cep-telefonu
iPhone 13 512 GB Gece Yarısı,10/06/2023,40998,10/06/2022,21677,cep-telefonu
iPhone 13 512 GB Kırmızı,10/06/2023,40998,10/06/2022,21299,cep-telefonu
iPhone 13 512 GB Mavi,10/06/2023,40999,10/06/2022,20999,cep-telefonu
iPhone 13 512 GB Pembe,10/06/2023,42990,10/06/2022,21499,cep-telefonu
iPhone 13 512 GB Yeşil,10/06/2023,39999,10/06/2022,21699,cep-telefonu
iPhone 13 512 GB Yıldız Işığı,10/06/2023,41999,10/06/2022,20978,cep-telefonu
